v2	Id(M1)
4.750000000000003e-01	5.165364e-05
4.800000000000003e-01	5.412972e-05
4.850000000000003e-01	5.666490e-05
4.900000000000003e-01	5.925834e-05
4.950000000000003e-01	6.190922e-05
5.000000000000003e-01	6.461672e-05
5.050000000000003e-01	6.737996e-05
5.100000000000003e-01	7.019812e-05
5.150000000000003e-01	7.307034e-05
5.200000000000004e-01	7.599578e-05
5.250000000000004e-01	7.897359e-05
5.300000000000004e-01	8.200295e-05
5.350000000000004e-01	8.508303e-05
5.400000000000004e-01	8.821301e-05
5.450000000000004e-01	9.139210e-05
5.500000000000004e-01	9.461950e-05
5.550000000000004e-01	9.789443e-05
5.600000000000004e-01	1.012161e-04
5.650000000000004e-01	1.045838e-04
5.700000000000004e-01	1.079968e-04
5.750000000000004e-01	1.114543e-04
5.800000000000004e-01	1.149557e-04
5.850000000000004e-01	1.185002e-04
5.900000000000004e-01	1.220871e-04
5.950000000000004e-01	1.257159e-04
6.000000000000004e-01	1.293858e-04
6.050000000000004e-01	1.330961e-04
6.100000000000004e-01	1.368463e-04
6.150000000000004e-01	1.406358e-04
6.200000000000004e-01	1.444639e-04
6.250000000000004e-01	1.483300e-04
6.300000000000004e-01	1.522336e-04
6.350000000000005e-01	1.561741e-04
6.400000000000005e-01	1.601509e-04
6.450000000000005e-01	1.641635e-04
6.500000000000005e-01	1.682114e-04
6.550000000000005e-01	1.722939e-04
6.600000000000005e-01	1.764106e-04
6.650000000000005e-01	1.805611e-04
6.700000000000005e-01	1.847447e-04
6.750000000000005e-01	1.889610e-04
6.800000000000005e-01	1.932095e-04
6.850000000000005e-01	1.974897e-04
6.900000000000005e-01	2.018011e-04
6.950000000000005e-01	2.061434e-04
7.000000000000005e-01	2.105160e-04
7.050000000000005e-01	2.149185e-04
7.100000000000005e-01	2.193504e-04
7.150000000000005e-01	2.238113e-04
7.200000000000005e-01	2.283008e-04
7.250000000000005e-01	2.328184e-04
7.300000000000005e-01	2.373638e-04
7.350000000000005e-01	2.419365e-04
7.400000000000005e-01	2.465361e-04
7.450000000000006e-01	2.511622e-04
7.500000000000006e-01	2.558143e-04
7.550000000000006e-01	2.604923e-04
7.600000000000006e-01	2.651955e-04
7.650000000000006e-01	2.699237e-04
7.700000000000006e-01	2.746764e-04
7.750000000000006e-01	2.794533e-04
7.800000000000006e-01	2.842540e-04
7.850000000000006e-01	2.890782e-04
7.900000000000006e-01	2.939254e-04
7.950000000000006e-01	2.987953e-04
8.000000000000006e-01	3.036877e-04
8.050000000000006e-01	3.086020e-04
8.100000000000006e-01	3.135380e-04
8.150000000000006e-01	3.184953e-04
8.200000000000006e-01	3.234736e-04
8.250000000000006e-01	3.284726e-04
8.300000000000006e-01	3.334918e-04
8.350000000000006e-01	3.385311e-04
8.400000000000006e-01	3.435900e-04
8.450000000000006e-01	3.486682e-04
8.500000000000006e-01	3.537654e-04
8.550000000000006e-01	3.588813e-04
8.600000000000007e-01	3.640155e-04
8.650000000000007e-01	3.691679e-04
8.700000000000007e-01	3.743380e-04
8.750000000000007e-01	3.795256e-04
8.800000000000007e-01	3.847303e-04
8.850000000000007e-01	3.899518e-04
8.900000000000007e-01	3.951899e-04
8.950000000000007e-01	4.004443e-04
9.000000000000007e-01	4.057146e-04
9.050000000000007e-01	4.110007e-04
9.100000000000007e-01	4.163021e-04
9.150000000000007e-01	4.216186e-04
9.200000000000007e-01	4.269500e-04
9.250000000000007e-01	4.322959e-04
9.300000000000007e-01	4.376562e-04
9.350000000000007e-01	4.430304e-04
